Tamanho,Bubble Sort,Insertion Sort,Heap Sort,Merge Sort,Quick Sort,Radix Sort
410,6758,2746,10037,6633,5831,2624
411,6540,2804,10062,6660,5915,2822
412,6760,2670,10094,6676,5884,2746
413,6801,2972,10111,6694,5831,2698
414,6675,2832,10150,6710,5936,2814
415,6743,2998,10153,6733,6059,2848
416,6735,2846,10212,6748,5990,2912
417,6943,2876,10232,6769,5906,2806
418,6900,2846,10268,6789,6067,2842
419,6594,2934,10279,6807,6123,2708
420,7071,2884,10326,6829,5953,2716
421,6931,2970,10350,6842,6087,2722
422,7225,3194,10352,6865,6177,2924
423,7330,3210,10403,6886,6108,2848
424,7177,3186,10445,6904,6105,2854
425,7420,2996,10451,6923,6196,2974
426,7255,3262,10480,6941,6166,2726
427,7162,3050,10512,6959,6156,2818
428,7085,3180,10556,6982,6258,2852
429,7382,2952,10572,6994,6197,2830
430,7044,3076,10612,7016,6278,2924
431,7629,3188,10639,7037,6274,3044
432,7227,3134,10666,7052,6254,2880
433,7192,3066,10672,7071,6262,2972
434,7508,2864,10707,7094,6196,2806
435,7646,3342,10733,7110,6416,2812
436,7372,3202,10768,7123,6366,2790
437,7672,3018,10799,7146,6462,2824
438,8016,3388,10836,7170,6336,2890
439,7778,3204,10875,7191,6284,2954
440,7841,3214,10880,7201,6365,2844
441,7598,3200,10916,7224,6425,2940
442,7381,3326,10957,7244,6320,3094
443,7678,3304,10969,7263,6642,3070
444,7927,3244,11010,7282,6555,3078
445,7952,3414,11016,7299,6563,2996
446,7720,3276,11073,7318,6638,2972
447,7883,3160,11090,7334,6586,2980
448,7902,3348,11125,7355,6458,2986
449,7639,3302,11144,7377,6574,3052
450,8136,3490,11176,7393,6700,3000
451,8460,3540,11205,7413,6599,3006
452,8127,3296,11228,7430,6609,3102
453,8039,3512,11256,7453,6540,3020
454,8313,3216,11290,7469,6694,3238
455,7969,3378,11329,7493,6731,3124
456,8175,3488,11346,7506,6628,3040
457,8264,3304,11368,7527,6835,2984
458,8393,3594,11390,7545,6635,3144
459,8487,3418,11438,7563,6716,3090
460,8331,3474,11468,7582,6712,3158
461,8641,3758,11498,7601,6934,3072
462,8618,3468,11539,7622,6852,3264
463,8283,3384,11551,7639,6759,3086
464,8599,3832,11598,7658,6929,3124
465,8861,3584,11598,7680,6944,3162
466,8806,3786,11636,7695,6917,3198
467,7758,3462,11674,7715,6934,3174
468,8931,3760,11697,7735,6948,3026
469,8711,3506,11719,7754,6921,3064
470,9053,3972,11742,7775,6978,3164
471,8494,3702,11769,7789,6959,3264
472,9167,3608,11818,7814,7022,3146
473,9097,3656,11837,7834,6977,3152
474,9285,3748,11892,7848,6963,3190
475,9094,3968,11896,7872,7054,3230
476,9419,3922,11940,7882,7008,3172
477,8887,3716,11963,7905,7113,3402
478,9280,3772,11990,7928,7153,3218
479,9365,4232,12020,7945,7257,3352
480,8817,3680,12031,7961,7129,3168
481,9675,4118,12076,7982,7175,3302
482,9347,3880,12098,7998,7250,3276
483,9225,3830,12126,8017,7118,3348
484,9793,4194,12163,8033,7208,3290
485,9685,3978,12182,8060,7217,3104
486,9497,3862,12208,8073,7158,3498
487,9493,4048,12237,8098,7220,3278
488,9315,4052,12263,8113,7339,3122
489,9445,3892,12303,8135,7254,3260
490,9788,3994,12331,8153,7354,3332
491,9686,4182,12361,8172,7563,3436
492,9720,4252,12393,8191,7335,3280
493,9489,4086,12400,8209,7372,3418
494,10257,4410,12449,8227,7465,3424
495,9952,4260,12482,8249,7375,3432
496,9481,4178,12502,8262,7360,3504
497,9387,4158,12512,8285,7384,3412
498,9261,3712,12553,8301,7542,3386
499,10017,4132,12610,8324,7502,3358
500,10024,4114,12629,8338,7487,3566
501,10166,4164,12668,8361,7618,3406
502,10002,4072,12682,8383,7377,3312
503,10048,4064,12712,8401,7534,3352
504,10194,4258,12736,8421,7579,3560
505,9999,4172,12765,8438,7484,3400
506,10389,4686,12779,8456,7539,3542
507,10038,4188,12822,8474,7775,3446
508,10407,4522,12868,8495,7505,3318
509,10503,4378,12893,8516,7635,3528
510,10262,4338,12913,8530,7740,3604
511,10062,4416,12919,8555,7760,3542
512,10795,4488,12981,8569,7572,3618
513,10892,4410,12999,8589,7843,3488
514,10148,4360,13019,8611,7752,3562
515,10950,4390,13061,8629,7646,3570
516,10777,4662,13098,8649,7922,3474
517,10913,4556,13134,8672,8064,3618
518,10852,4504,13140,8696,7752,3556
519,10741,4284,13188,8711,7841,3460
520,10958,4374,13207,8736,7925,3536
521,10994,4446,13235,8757,7790,3508
522,11073,4674,13260,8774,7996,3548
523,10412,4468,13318,8790,7944,3590
524,10461,4396,13340,8815,7805,3562
525,11293,4422,13353,8837,7879,3534
526,10804,4704,13396,8854,7822,3436
527,11397,4700,13436,8874,8066,3548
528,10921,4802,13453,8895,8098,3660
529,11041,4834,13489,8921,8098,3666
530,11216,4938,13514,8936,7939,3498
531,11324,4522,13550,8955,8088,3610
532,11318,4546,13573,8978,8078,3474
533,11212,4762,13609,8997,8121,3588
534,11166,4956,13635,9018,8116,3452
535,11123,4554,13662,9039,8045,3602
536,11126,4740,13688,9057,8053,3752
537,11168,4970,13712,9079,8175,3650
538,11281,4662,13765,9101,8250,3550
539,11398,4900,13787,9120,8199,3700
540,10833,4776,13806,9141,8197,3636
541,11594,4828,13836,9166,7988,3606
542,11625,5036,13865,9181,8298,3684
543,11714,5036,13902,9203,8331,3474
544,12051,4880,13922,9225,8260,3662
545,11259,4930,13981,9245,8237,3632
546,11781,4924,14014,9267,8269,3822
547,12412,5022,14032,9285,8159,3756
548,12229,5130,14064,9306,8399,3762
549,11620,4900,14091,9325,8425,3732
550,11883,4952,14128,9349,8242,3556
551,12168,4976,14159,9367,8582,3782
552,12295,5306,14176,9386,8547,3864
553,11984,5090,14214,9406,8244,3760
554,12500,5238,14246,9430,8289,3804
555,12263,5248,14270,9448,8395,3810
556,12437,5080,14305,9468,8372,3816
557,12705,5320,14347,9489,8309,4046
558,12579,5144,14356,9505,8397,4016
559,12449,5292,14398,9531,8591,3762
560,12315,5400,14432,9550,8533,3732
561,12165,5552,14469,9568,8601,3888
562,12500,5104,14494,9596,8459,3934
563,12924,5542,14533,9610,8519,3790
564,12935,5114,14544,9631,8749,3910
565,12003,5282,14586,9647,8609,3992
566,12904,5394,14607,9674,8698,3810
567,13011,5458,14628,9695,8793,4006
568,12962,5662,14674,9718,8684,3786
569,13314,5348,14702,9736,8778,3792
570,13072,5508,14742,9754,8625,3800
571,13340,5400,14757,9774,8632,4034
572,13319,5776,14790,9798,8846,3888
573,13106,5506,14814,9816,8751,3820
574,12992,5396,14836,9838,8728,3978
575,13509,5358,14864,9857,8810,4100
576,13659,5736,14890,9874,8863,3916
577,13662,5552,14946,9899,8765,3962
578,13086,5400,14972,9916,8762,4084
579,13589,5368,14993,9939,8986,3974
580,13131,5650,15031,9953,9038,4020
581,13954,5790,15062,9978,9006,3988
582,13841,5682,15105,10001,9153,3880
583,13426,5706,15117,10024,9141,4002
584,13249,5472,15146,10043,9053,4242
585,13318,5768,15194,10061,8985,4212
586,14168,5872,15205,10084,8877,3866
587,13132,5480,15250,10105,8894,3952
588,13718,5796,15288,10121,9151,4076
589,13719,5916,15304,10142,8916,3964
590,14411,5812,15330,10164,9038,4130
591,14045,5984,15383,10189,9134,4254
592,13805,5940,15398,10209,9096,4144
593,14049,5760,15430,10228,9177,4032
594,13988,5678,15466,10252,8984,4118
595,14141,6106,15489,10269,9272,4164
596,14186,5842,15519,10288,9324,4132
597,14255,5822,15545,10307,9338,4178
598,14446,5808,15596,10325,9165,4146
599,14683,6244,15634,10349,8995,4232
600,14760,5998,15670,10365,9125,4120
601,14141,6162,15678,10386,9169,4086
602,14066,6056,15719,10413,9367,4092
603,14555,6154,15740,10428,9385,4180
604,14411,5868,15778,10449,9321,4066
605,14548,6024,15803,10474,9584,4234
606,14622,6414,15834,10493,9270,4282
607,14618,6368,15871,10515,9718,4168
608,14931,6148,15903,10528,9391,4052
609,14692,5996,15921,10552,9371,4222
610,15006,6138,15974,10577,9361,4270
611,14945,6222,15980,10600,9462,4194
612,14485,6364,16021,10613,9536,4284
613,15563,6564,16062,10640,9592,4412
614,15308,6626,16074,10652,9454,4338
615,15094,6242,16112,10680,9519,4264
616,15228,6142,16130,10698,9877,3942
617,14920,6268,16174,10718,9622,4030
618,15420,6284,16212,10741,9448,4078
619,15192,6366,16236,10762,9723,4374
620,14815,6026,16271,10775,9549,4132
621,14937,6314,16286,10800,9677,4388
622,15596,6518,16316,10823,9747,4188
623,15762,6520,16342,10842,9477,4402
624,16002,6460,16390,10864,9789,4534
625,15538,6158,16440,10878,9890,4416
626,15892,6534,16454,10907,9656,4422
627,15851,6828,16460,10924,9784,4388
628,15290,6254,16525,10939,9666,4228
629,16347,6652,16538,10959,9930,4276
630,15933,6790,16584,10982,9988,4494
631,15638,6496,16617,11002,10000,4416
632,16308,6492,16637,11022,9834,4254
633,15741,6666,16665,11047,9953,4472
634,16369,6616,16699,11062,10098,4394
635,16440,6758,16741,11089,9816,4402
636,15701,6892,16768,11104,10033,4366
637,16664,6914,16783,11131,9930,4330
638,16590,6680,16809,11148,10013,4508
639,16361,6904,16833,11164,10079,4344
640,16498,6754,16898,11187,10085,4394
641,15986,6544,16913,11207,9877,4400
642,16554,6784,16948,11229,10074,4536
643,16380,7166,16966,11251,9800,4628
644,16930,7240,17007,11267,9974,4336
645,16627,6764,17036,11294,9944,4386
646,16625,6762,17053,11310,10227,4306
647,17167,7158,17113,11323,10113,4442
648,16715,6990,17136,11353,10142,4752
649,16215,6942,17167,11375,10072,4628
650,16954,6824,17165,11393,10145,4550
651,17443,7152,17232,11418,10280,4382
652,16753,6858,17260,11437,10246,4606
653,17316,7422,17252,11457,10387,4526
654,16806,6968,17310,11475,10018,4490
655,17634,7234,17350,11495,10240,4496
656,17566,7186,17382,11518,10265,4416
657,17485,7374,17415,11540,10362,4510
658,16693,7238,17443,11560,10392,4692
659,18144,7600,17474,11578,10286,4524
660,17039,7366,17488,11602,10268,4488
661,17456,6928,17536,11621,10353,4670
662,17341,6964,17564,11641,10412,4722
663,17569,7598,17601,11659,10532,4906
664,17819,7262,17633,11675,10606,4602
665,18146,7252,17656,11704,10579,4522
666,18231,7822,17692,11724,10498,4928
667,17309,7400,17718,11743,10655,4668
668,18220,7404,17768,11766,10494,4764
669,18140,7466,17777,11788,10595,4994
670,18079,7658,17818,11808,10572,4734
671,17772,7672,17836,11825,10701,4740
672,18465,7584,17871,11852,10926,4792
673,18052,7656,17917,11869,10812,4620
674,17378,7702,17934,11891,10452,4806
675,18009,7664,17957,11911,10731,4590
676,17833,7496,17984,11936,10586,4686
677,18750,7936,18016,11950,10633,4648
678,18639,7400,18064,11970,10901,4520
679,19162,7858,18060,11991,10646,4752
680,18854,7742,18126,12012,10700,4714
681,18698,7522,18167,12035,10857,4994
682,18574,7592,18176,12057,10772,4728
683,18383,7530,18244,12074,10824,4734
684,18704,7948,18235,12096,10553,4650
685,18736,7742,18267,12117,10863,4794
686,18443,7752,18296,12136,10688,4846
687,19506,8142,18356,12156,11112,4716
